timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628490264395,71006,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490264397,18271,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490264397,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490265397,70976,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490265397,14426,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490265397,1169000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490266397,71049,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490266397,33532,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490266397,9583000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490267398,71034,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490267398,22908,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490267398,1554000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490268399,71017,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490268399,15067,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490268399,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490269399,71047,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490269399,24761,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490269399,8596000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490270400,71091,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490270400,35354,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490270400,756000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490271400,71032,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490271400,46468,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490271400,840000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
